Sentence,Action,Room,Object
fetch an item from the bathroom,get,bathroom,unknown
find me the soda close to the pantry,find,kitchen,soda
clean up an apple near the my room,store,bedroom,apple
move over to the beverage in the bedroom,go,bedroom,beverage
find me an object inside the bathroom,find,bathroom,unknown
proceed near the crackers near the kitchen,go,kitchen,crackers
take the apple close to the pantry,store,kitchen,apple
navigate by the pantry,go,kitchen,unknown
locate the chips by the bathroom,find,bathroom,chips
find a water around the canteen,find,kitchen,water
look for the object from the my room,find,bedroom,unknown
place a beverage near the canteen,store,kitchen,beverage
find me an orange from the sitting room,find,living room,orange
clear a crackers close to the kitchen,store,kitchen,crackers
find me some beverage inside the my room,find,bedroom,beverage
locate some chips,find,unknown,chips
identify an item inside the sitting room,find,living room,unknown
look for some chips around the canteen,find,kitchen,chips
put back the crackers in the bathroom,store,bathroom,crackers
drive to the apple close to the bathroom,go,bathroom,apple
clean up a water inside the my room,store,bedroom,water
grab a cookies near the bathroom,get,bathroom,cookies
find me a soda around the sitting room,find,living room,soda
put away the apple by the parlor,store,living room,apple
look for a soda near the my room,find,bedroom,soda
clear away the banana around the my room,store,bedroom,banana
proceed over by the chips by the bathroom,go,bathroom,chips
tidy up a water close to the canteen,store,kitchen,water
take the soda close to the pantry,store,kitchen,soda
find the orange around the pantry,find,kitchen,orange
get me the chips by the bathroom,get,bathroom,chips
navigate by the crackers from the parlor,go,living room,crackers
get me the soda close to the bathroom,get,bathroom,soda
store an orange in the my room,store,bedroom,orange
throw out an object inside the bathroom,store,bathroom,unknown
proceed to the bathroom,go,bathroom,unknown
drive toward the bathroom,go,bathroom,unknown
bring some beverage around the bath,get,bathroom,beverage
put back a cookies,store,unknown,cookies
throw out an object from the pantry,store,kitchen,unknown
retrieve some apple by the canteen,get,kitchen,apple
tidy the item close to the pantry,store,kitchen,unknown
put away a soda by the bathroom,store,bathroom,soda
search for some soda inside the bathroom,find,bathroom,soda
proceed to the apple close to the canteen,go,kitchen,apple
look for some thing close to the bath,find,bathroom,unknown
find the beverage around the canteen,find,kitchen,beverage
clean the thing inside the canteen,store,kitchen,unknown
bring some soda from the canteen,get,kitchen,soda
take an orange inside the bedroom,store,bedroom,orange
fetch the orange by the parlor,get,living room,orange
identify some water inside the pantry,find,kitchen,water
locate the cookies near the bedroom,find,bedroom,cookies
look for the orange,find,unknown,orange
search for the object in the bath,find,bathroom,unknown
put back the apple from the parlor,store,living room,apple
navigate near the bathroom,go,bathroom,unknown
head near the canteen,go,kitchen,unknown
bring me some item near the my room,get,bedroom,unknown
retrieve some water by the pantry,get,kitchen,water
bring me some item inside the my room,get,bedroom,unknown
proceed to the chips in the bedroom,go,bedroom,chips
clean an item in the my room,store,bedroom,unknown
look for some cookies in the parlor,find,living room,cookies
throw away the apple,store,unknown,apple
go towards the soda by the bathroom,go,bathroom,soda
clear a banana close to the bath,store,bathroom,banana
navigate near the soda,go,unknown,soda
put back the soda inside the bedroom,store,bedroom,soda
find me some crackers in the sitting room,find,living room,crackers
tidy up an orange in the my room,store,bedroom,orange
get me some item around the my room,get,bedroom,unknown
move towards the water,go,unknown,water
navigate towards the chips by the my room,go,bedroom,chips
head to the apple,go,unknown,apple
retrieve an orange close to the kitchen,get,kitchen,orange
retrieve the apple near the living room,get,living room,apple
go towards the banana around the bath,go,bathroom,banana
proceed over by the water by the pantry,go,kitchen,water
identify a banana,find,unknown,banana
fetch me the orange,get,unknown,orange
retrieve the banana from the pantry,get,kitchen,banana
find the cookies,find,unknown,cookies
put away the apple in the sitting room,store,living room,apple
grab an apple by the bath,get,bathroom,apple
move over by the orange from the bath,go,bathroom,orange
throw out the banana from the pantry,store,kitchen,banana
find the chips inside the living room,find,living room,chips
look for the soda near the canteen,find,kitchen,soda
take the chips in the bath,store,bathroom,chips
grab an orange,get,unknown,orange
look for a cookies near the kitchen,find,kitchen,cookies
find me the cookies by the bedroom,find,bedroom,cookies
retrieve the water in the pantry,get,kitchen,water
get me the water,get,unknown,water
tidy an orange,store,unknown,orange
locate some banana around the bath,find,bathroom,banana
clean the beverage close to the living room,store,living room,beverage
fetch the cookies around the my room,get,bedroom,cookies
find me the thing near the bathroom,find,bathroom,unknown
proceed near the soda in the bath,go,bathroom,soda
drive towards the my room,go,bedroom,unknown
throw away a crackers close to the kitchen,store,kitchen,crackers
find some water,find,unknown,water
search for the object by the bath,find,bathroom,unknown
find some apple inside the canteen,find,kitchen,apple
retrieve the banana around the my room,get,bedroom,banana
grab me some soda around the living room,get,living room,soda
retrieve some crackers in the parlor,get,living room,crackers
retrieve a beverage by the bathroom,get,bathroom,beverage
put back a soda by the bedroom,store,bedroom,soda
fetch me the crackers,get,unknown,crackers
navigate toward the beverage from the kitchen,go,kitchen,beverage
look for some beverage inside the sitting room,find,living room,beverage
clear away the apple around the living room,store,living room,apple
proceed near the bedroom,go,bedroom,unknown
tidy up the orange near the bedroom,store,bedroom,orange
get the beverage near the pantry,get,kitchen,beverage
pick up a thing near the parlor,get,living room,unknown
look for the object in the living room,find,living room,unknown
bring me the banana from the canteen,get,kitchen,banana
drive towards the bath,go,bathroom,unknown
find me a thing around the sitting room,find,living room,unknown
get me the banana from the bedroom,get,bedroom,banana
navigate over to the soda,go,unknown,soda
go near the chips by the bath,go,bathroom,chips
move by the water near the bedroom,go,bedroom,water
search for the banana,find,unknown,banana
bring me a soda from the pantry,get,kitchen,soda
identify the crackers near the living room,find,living room,crackers
proceed over by the bathroom,go,bathroom,unknown
place the soda near the canteen,store,kitchen,soda
go over to the crackers around the my room,go,bedroom,crackers
go towards the water in the bathroom,go,bathroom,water
drive toward the chips from the bathroom,go,bathroom,chips
move near the banana near the my room,go,bedroom,banana
find me the object from the sitting room,find,living room,unknown
put back the orange inside the sitting room,store,living room,orange
search for some soda,find,unknown,soda
clean up a cookies inside the bedroom,store,bedroom,cookies
get a water around the canteen,get,kitchen,water
move towards the crackers inside the bathroom,go,bathroom,crackers
go towards the chips,go,unknown,chips
search for the chips,find,unknown,chips
clean an item around the bath,store,bathroom,unknown
drive by the apple around the bedroom,go,bedroom,apple
find the banana,find,unknown,banana
pick up an item inside the parlor,get,living room,unknown
clear the crackers,store,unknown,crackers
throw out the beverage from the living room,store,living room,beverage
identify some soda near the bathroom,find,bathroom,soda
throw out an object close to the bathroom,store,bathroom,unknown
head towards the parlor,go,living room,unknown
find some item in the bathroom,find,bathroom,unknown
move over to the water inside the canteen,go,kitchen,water
grab some cookies from the kitchen,get,kitchen,cookies
drive over by the soda near the kitchen,go,kitchen,soda
fetch me the orange,get,unknown,orange
put back a crackers in the bathroom,store,bathroom,crackers
get the thing inside the bath,get,bathroom,unknown
locate some thing from the bathroom,find,bathroom,unknown
navigate towards the kitchen,go,kitchen,unknown
move near the cookies close to the my room,go,bedroom,cookies
put away the thing near the bath,store,bathroom,unknown
throw away a crackers around the bedroom,store,bedroom,crackers
locate some beverage from the bath,find,bathroom,beverage
identify some water in the pantry,find,kitchen,water
identify the chips close to the pantry,find,kitchen,chips
fetch me an orange inside the bathroom,get,bathroom,orange
clean up the chips by the bath,store,bathroom,chips
pick up an item near the bath,get,bathroom,unknown
locate a beverage close to the sitting room,find,living room,beverage
fetch me some soda around the my room,get,bedroom,soda
put away the crackers,store,unknown,crackers
grab me the chips around the sitting room,get,living room,chips
proceed near the beverage close to the sitting room,go,living room,beverage
pick up the soda near the pantry,get,kitchen,soda
navigate near the banana by the bathroom,go,bathroom,banana
bring me a banana from the bathroom,get,bathroom,banana
tidy the water around the bathroom,store,bathroom,water
identify a cookies close to the sitting room,find,living room,cookies
fetch an apple by the bedroom,get,bedroom,apple
locate a beverage from the canteen,find,kitchen,beverage
go over by the sitting room,go,living room,unknown
fetch the soda,get,unknown,soda
fetch me the apple inside the canteen,get,kitchen,apple
clear the cookies near the bathroom,store,bathroom,cookies
throw away the thing by the bathroom,store,bathroom,unknown
fetch an apple from the canteen,get,kitchen,apple
search for the object by the sitting room,find,living room,unknown
store the orange near the my room,store,bedroom,orange
move over to the crackers from the bathroom,go,bathroom,crackers
bring me a water,get,unknown,water
bring the chips around the living room,get,living room,chips
navigate near the beverage inside the bathroom,go,bathroom,beverage
identify some beverage from the canteen,find,kitchen,beverage
proceed over to the cookies,go,unknown,cookies
head toward the orange around the bathroom,go,bathroom,orange
look for the item inside the canteen,find,kitchen,unknown
navigate near the orange inside the bedroom,go,bedroom,orange
find me a crackers around the bathroom,find,bathroom,crackers
tidy up the item near the bath,store,bathroom,unknown
head over by the crackers,go,unknown,crackers
navigate near the soda around the sitting room,go,living room,soda
fetch me a water,get,unknown,water
search for some cookies,find,unknown,cookies
look for the cookies,find,unknown,cookies
drive by the banana from the bedroom,go,bedroom,banana
bring some item from the my room,get,bedroom,unknown
throw away the chips,store,unknown,chips
tidy up the water around the sitting room,store,living room,water
find the chips,find,unknown,chips
identify some chips from the canteen,find,kitchen,chips
place the apple near the my room,store,bedroom,apple
look for a soda,find,unknown,soda
search for an apple inside the bathroom,find,bathroom,apple
clear a crackers near the bath,store,bathroom,crackers
fetch the cookies in the bathroom,get,bathroom,cookies
grab some thing by the bathroom,get,bathroom,unknown
proceed by the beverage inside the pantry,go,kitchen,beverage
search for a water from the my room,find,bedroom,water
find the crackers inside the bathroom,find,bathroom,crackers
proceed to the soda from the canteen,go,kitchen,soda
find some banana near the sitting room,find,living room,banana
proceed to the banana,go,unknown,banana
fetch the beverage,get,unknown,beverage
fetch me the soda around the living room,get,living room,soda
fetch me some apple in the pantry,get,kitchen,apple
clean an object close to the bedroom,store,bedroom,unknown
bring me a chips in the my room,get,bedroom,chips
bring the soda in the bath,get,bathroom,soda
clean the item near the living room,store,living room,unknown
put away an object around the canteen,store,kitchen,unknown
navigate to the water,go,unknown,water
clear an item near the bathroom,store,bathroom,unknown
look for some water around the kitchen,find,kitchen,water
look for some cookies in the my room,find,bedroom,cookies
proceed over to the sitting room,go,living room,unknown
retrieve the soda around the living room,get,living room,soda
find me some beverage near the bathroom,find,bathroom,beverage
get me a cookies near the bedroom,get,bedroom,cookies
throw away a crackers in the kitchen,store,kitchen,crackers
locate some object around the canteen,find,kitchen,unknown
head to the soda by the canteen,go,kitchen,soda
place the water close to the my room,store,bedroom,water
retrieve the water near the my room,get,bedroom,water
find me the item around the my room,find,bedroom,unknown
tidy a crackers,store,unknown,crackers
look for an item close to the parlor,find,living room,unknown
tidy the thing close to the kitchen,store,kitchen,unknown
place a soda,store,unknown,soda
fetch an apple by the bathroom,get,bathroom,apple
grab a beverage inside the bath,get,bathroom,beverage
go toward the banana,go,unknown,banana
drive near the banana inside the my room,go,bedroom,banana
drive by the cookies from the bathroom,go,bathroom,cookies
throw away a chips from the bathroom,store,bathroom,chips
clean a beverage close to the bathroom,store,bathroom,beverage
identify some soda around the pantry,find,kitchen,soda
pick up some beverage around the pantry,get,kitchen,beverage
clear the apple close to the living room,store,living room,apple
search for a thing inside the kitchen,find,kitchen,unknown
store an orange inside the parlor,store,living room,orange
identify the beverage close to the bathroom,find,bathroom,beverage
identify the water by the bath,find,bathroom,water
look for a beverage by the bath,find,bathroom,beverage
find me an orange in the bathroom,find,bathroom,orange
bring me a banana in the my room,get,bedroom,banana
search for the soda close to the bath,find,bathroom,soda
put back a thing in the bath,store,bathroom,unknown
retrieve some thing inside the sitting room,get,living room,unknown
drive to the soda,go,unknown,soda
get some object by the my room,get,bedroom,unknown
go over to the crackers,go,unknown,crackers
find a soda around the my room,find,bedroom,soda
identify a banana in the kitchen,find,kitchen,banana
fetch the chips near the bath,get,bathroom,chips
head over by the orange close to the kitchen,go,kitchen,orange
store a chips,store,unknown,chips
get the cookies close to the parlor,get,living room,cookies
tidy an item close to the parlor,store,living room,unknown
proceed near the banana around the bedroom,go,bedroom,banana
throw away a thing from the living room,store,living room,unknown
retrieve some cookies inside the my room,get,bedroom,cookies
put back a cookies by the my room,store,bedroom,cookies
grab the apple around the living room,get,living room,apple
put away the banana inside the my room,store,bedroom,banana
proceed near the cookies by the my room,go,bedroom,cookies
look for a banana near the parlor,find,living room,banana
find me a cookies around the my room,find,bedroom,cookies
clear away the beverage,store,unknown,beverage
search for some crackers,find,unknown,crackers
put back the soda in the my room,store,bedroom,soda
tidy up a cookies near the bath,store,bathroom,cookies
retrieve some beverage by the bathroom,get,bathroom,beverage
put away the orange inside the bath,store,bathroom,orange
tidy up a soda in the bath,store,bathroom,soda
identify the banana in the bedroom,find,bedroom,banana
tidy up a thing close to the my room,store,bedroom,unknown
look for the soda by the pantry,find,kitchen,soda
pick up an apple by the canteen,get,kitchen,apple
search for the water,find,unknown,water
grab me some item close to the bathroom,get,bathroom,unknown
take the object from the my room,store,bedroom,unknown
fetch the chips near the parlor,get,living room,chips
put back the orange in the parlor,store,living room,orange
bring me some cookies near the sitting room,get,living room,cookies
go by the beverage inside the bath,go,bathroom,beverage
identify the orange around the canteen,find,kitchen,orange
fetch a thing near the bedroom,get,bedroom,unknown
proceed to the water,go,unknown,water
take a soda in the bedroom,store,bedroom,soda
identify a cookies close to the sitting room,find,living room,cookies
head over by the banana close to the bathroom,go,bathroom,banana
navigate toward the parlor,go,living room,unknown
put back the beverage near the pantry,store,kitchen,beverage
head near the chips around the living room,go,living room,chips
fetch the water close to the my room,get,bedroom,water
grab the beverage in the bedroom,get,bedroom,beverage
move towards the chips in the pantry,go,kitchen,chips
proceed towards the banana in the bathroom,go,bathroom,banana
