Sentence,Action,Room,Object
what is you do vegetables,question,unknown,vegetables
put back an object inside the sitting room,place,living room,unknown
question are the cookies around the bath,question,bathroom,cookies
report in details vegetables in the pantry,describe,kitchen,vegetables
present everything you see crackers in the sitting room,describe,living room,crackers
locate an item inside the my room,get,bedroom,unknown
drive towards the orange near the kitchen,go,kitchen,orange
explain every detail thing around the bath,describe,bathroom,unknown
question are the tomato close to the bedroom,question,bedroom,tomato
drive towards the crackers from the canteen,go,kitchen,crackers
how you do banana,question,unknown,banana
put back a chips close to the bathroom,place,bathroom,chips
take a peas,place,unknown,peas
clean up a soda around the bathroom,place,bathroom,soda
navigate towards the crackers,go,unknown,crackers
express what's there thing close to the bedroom,describe,bedroom,unknown
would you tell apple near the parlor,question,living room,apple
how are the thing inside the bedroom,question,bedroom,unknown
report in details beverage from the bathroom,describe,bathroom,beverage
express every detail tomato around the my room,describe,bedroom,tomato
place the object from the my room,place,bedroom,unknown
bring me a water,get,unknown,water
report what you see banana inside the kitchen,describe,kitchen,banana
express in details crackers around the bathroom,describe,bathroom,crackers
could you tell carrots from the my room,question,bedroom,carrots
retrieve some object close to the bathroom,get,bathroom,unknown
proceed toward the crackers by the my room,go,bedroom,crackers
what is you do chips near the bath,question,bathroom,chips
store the object in the bathroom,place,bathroom,unknown
express what you see apple near the bathroom,describe,bathroom,apple
get me the corn,get,unknown,corn
go towards the carrots near the kitchen,go,kitchen,carrots
put away the chips inside the bathroom,place,bathroom,chips
answer you tell orange inside the kitchen,question,kitchen,orange
move near the bedroom,go,bedroom,unknown
navigate toward the apple inside the my room,go,bedroom,apple
navigate near the water,go,unknown,water
would is the object inside the bath,question,bathroom,unknown
specify what you see carrots around the kitchen,describe,kitchen,carrots
move towards the apple near the bathroom,go,bathroom,apple
clean a soda,place,unknown,soda
report every detail peas near the bathroom,describe,bathroom,peas
clear the beverage close to the bathroom,place,bathroom,beverage
question you tell item from the bedroom,question,bedroom,unknown
go to the carrots inside the living room,go,living room,carrots
fetch me the corn by the pantry,get,kitchen,corn
present in details peas around the bath,describe,bathroom,peas
tidy a banana in the living room,place,living room,banana
specify every detail orange inside the parlor,describe,living room,orange
specify in details cookies near the canteen,describe,kitchen,cookies
get me some banana near the kitchen,get,kitchen,banana
describe in details soda by the canteen,describe,kitchen,soda
navigate over to the beverage by the bedroom,go,bedroom,beverage
clear away the tuna from the canteen,place,kitchen,tuna
would is the orange,question,unknown,orange
question is the object near the parlor,question,living room,unknown
answer are the peas from the living room,question,living room,peas
take a banana by the bathroom,place,bathroom,banana
move to the pantry,go,kitchen,unknown
navigate over to the kitchen,go,kitchen,unknown
find an object around the sitting room,get,living room,unknown
what is you tell tomato,question,unknown,tomato
throw away the corn near the living room,place,living room,corn
report every detail object around the bedroom,describe,bedroom,unknown
place the tomato near the bath,place,bathroom,tomato
put away the water inside the bathroom,place,bathroom,water
would is the chips in the canteen,question,kitchen,chips
how you do thing by the parlor,question,living room,unknown
throw out a thing in the sitting room,place,living room,unknown
search for a chips inside the sitting room,get,living room,chips
put away the corn close to the parlor,place,living room,corn
report what's there banana inside the parlor,describe,living room,banana
navigate to the my room,go,bedroom,unknown
move toward the soda around the bath,go,bathroom,soda
tell in details item around the canteen,describe,kitchen,unknown
present every detail soda near the sitting room,describe,living room,soda
drive over by the water,go,unknown,water
grab the beverage in the bedroom,get,bedroom,beverage
clean up a soda inside the my room,place,bedroom,soda
fetch an orange in the bathroom,get,bathroom,orange
question are the orange inside the my room,question,bedroom,orange
go near the carrots,go,unknown,carrots
what are you tell beverage,question,unknown,beverage
bring the apple in the living room,get,living room,apple
tell in details item inside the bedroom,describe,bedroom,unknown
identify a beverage from the bathroom,get,bathroom,beverage
answer you do thing in the bedroom,question,bedroom,unknown
how are the apple,question,unknown,apple
move over to the beverage inside the pantry,go,kitchen,beverage
tell everything you see water close to the bathroom,describe,bathroom,water
clean the carrots close to the canteen,place,kitchen,carrots
describe in details peas inside the bath,describe,bathroom,peas
how is the water around the my room,question,bedroom,water
head near the soda near the bath,go,bathroom,soda
put away a soda around the kitchen,place,kitchen,soda
fetch me some beverage by the bath,get,bathroom,beverage
tidy up a vegetables inside the canteen,place,kitchen,vegetables
find an item inside the living room,get,living room,unknown
report what you see item around the living room,describe,living room,unknown
could you tell carrots,question,unknown,carrots
navigate near the cookies around the pantry,go,kitchen,cookies
clear away the chips inside the bathroom,place,bathroom,chips
what is are the beverage in the bathroom,question,bathroom,beverage
specify in details item by the my room,describe,bedroom,unknown
get me some vegetables around the my room,get,bedroom,vegetables
take a banana near the bathroom,place,bathroom,banana
question you tell corn,question,unknown,corn
tidy the object near the bedroom,place,bedroom,unknown
bring me a carrots,get,unknown,carrots
drive towards the crackers from the bath,go,bathroom,crackers
grab some apple inside the bedroom,get,bedroom,apple
present what's there soda,describe,unknown,soda
what are are the water close to the bathroom,question,bathroom,water
go over by the apple around the bathroom,go,bathroom,apple
grab me the water,get,unknown,water
look for the carrots close to the sitting room,get,living room,carrots
express every detail item from the sitting room,describe,living room,unknown
would you do tuna around the parlor,question,living room,tuna
tell in details banana near the my room,describe,bedroom,banana
move over to the crackers close to the bath,go,bathroom,crackers
pick up a soda close to the pantry,get,kitchen,soda
navigate near the apple near the bath,go,bathroom,apple
head to the water from the my room,go,bedroom,water
how you tell cookies close to the kitchen,question,kitchen,cookies
retrieve a cookies by the bedroom,get,bedroom,cookies
question you do corn,question,unknown,corn
where is the apple around the bath,question,bathroom,apple
head by the water inside the living room,go,living room,water
present everything you see item close to the bath,describe,bathroom,unknown
tell in details thing close to the bath,describe,bathroom,unknown
tell what's there object from the living room,describe,living room,unknown
could you tell soda from the kitchen,question,kitchen,soda
would you do tomato,question,unknown,tomato
identify the thing close to the bathroom,get,bathroom,unknown
head towards the banana by the bath,go,bathroom,banana
grab me a peas inside the kitchen,get,kitchen,peas
put back a crackers around the bathroom,place,bathroom,crackers
present what you see orange inside the my room,describe,bedroom,orange
where you do beverage close to the bathroom,question,bathroom,beverage
put away the corn inside the bedroom,place,bedroom,corn
search for some crackers in the kitchen,get,kitchen,crackers
fetch me a carrots inside the living room,get,living room,carrots
where you do crackers inside the living room,question,living room,crackers
store the water,place,unknown,water
place the apple by the kitchen,place,kitchen,apple
what are is the object close to the bathroom,question,bathroom,unknown
could you tell orange close to the kitchen,question,kitchen,orange
navigate over to the carrots inside the bath,go,bathroom,carrots
tell in details beverage near the bedroom,describe,bedroom,beverage
store the thing in the living room,place,living room,unknown
express every detail tomato by the bathroom,describe,bathroom,tomato
answer is the crackers,question,unknown,crackers
take a thing from the sitting room,place,living room,unknown
store a beverage around the parlor,place,living room,beverage
pick up the banana,get,unknown,banana
throw out a banana,place,unknown,banana
store a cookies,place,unknown,cookies
specify in details object from the canteen,describe,kitchen,unknown
what is is the item from the bath,question,bathroom,unknown
throw out a tuna near the parlor,place,living room,tuna
tidy up the orange around the bathroom,place,bathroom,orange
throw out the soda inside the my room,place,bedroom,soda
put away a cookies in the sitting room,place,living room,cookies
grab me the soda around the bedroom,get,bedroom,soda
question you do item by the parlor,question,living room,unknown
drive towards the banana in the bedroom,go,bedroom,banana
tell everything you see cookies from the pantry,describe,kitchen,cookies
find the soda close to the kitchen,get,kitchen,soda
present what you see tuna near the kitchen,describe,kitchen,tuna
would you do soda near the parlor,question,living room,soda
bring me some crackers near the bedroom,get,bedroom,crackers
report in details beverage near the sitting room,describe,living room,beverage
present what you see vegetables in the bathroom,describe,bathroom,vegetables
explain everything you see corn,describe,unknown,corn
report everything you see apple inside the kitchen,describe,kitchen,apple
answer you tell thing near the living room,question,living room,unknown
describe what you see apple around the my room,describe,bedroom,apple
bring me some soda from the sitting room,get,living room,soda
report what's there tomato near the canteen,describe,kitchen,tomato
head near the vegetables,go,unknown,vegetables
proceed near the soda in the bathroom,go,bathroom,soda
find me the object close to the bedroom,get,bedroom,unknown
drive towards the cookies inside the bath,go,bathroom,cookies
proceed near the apple around the my room,go,bedroom,apple
proceed near the crackers,go,unknown,crackers
what are are the apple by the my room,question,bedroom,apple
what are is the beverage around the pantry,question,kitchen,beverage
pick up some banana from the bath,get,bathroom,banana
answer is the object from the bedroom,question,bedroom,unknown
answer you tell water,question,unknown,water
explain every detail thing around the bathroom,describe,bathroom,unknown
answer you tell cookies inside the parlor,question,living room,cookies
clear away a chips inside the bedroom,place,bedroom,chips
locate a corn,get,unknown,corn
could you do water,question,unknown,water
question is the soda,question,unknown,soda
move to the bath,go,bathroom,unknown
grab the banana,get,unknown,banana
bring me the water,get,unknown,water
store a vegetables around the bedroom,place,bedroom,vegetables
express everything you see object close to the my room,describe,bedroom,unknown
tell what you see object inside the bedroom,describe,bedroom,unknown
question is the chips from the bathroom,question,bathroom,chips
clean up the chips,place,unknown,chips
take a chips around the bedroom,place,bedroom,chips
drive towards the carrots by the kitchen,go,kitchen,carrots
navigate near the chips around the bedroom,go,bedroom,chips
go over by the crackers,go,unknown,crackers
get me a cookies around the bedroom,get,bedroom,cookies
navigate toward the bath,go,bathroom,unknown
explain every detail peas from the pantry,describe,kitchen,peas
express what's there tuna in the bath,describe,bathroom,tuna
report in details cookies close to the my room,describe,bedroom,cookies
clean an orange close to the my room,place,bedroom,orange
specify what's there object inside the living room,describe,living room,unknown
clean up an item near the bedroom,place,bedroom,unknown
throw away the orange from the pantry,place,kitchen,orange
clean a chips,place,unknown,chips
describe everything you see apple close to the pantry,describe,kitchen,apple
present every detail cookies,describe,unknown,cookies
explain everything you see orange by the canteen,describe,kitchen,orange
place a corn,place,unknown,corn
drive towards the corn around the bedroom,go,bedroom,corn
specify in details orange by the bedroom,describe,bedroom,orange
explain everything you see crackers,describe,unknown,crackers
could you tell corn near the pantry,question,kitchen,corn
clean the beverage close to the living room,place,living room,beverage
take the object close to the living room,place,living room,unknown
question is the cookies from the bedroom,question,bedroom,cookies
take a thing near the bath,place,bathroom,unknown
would is the chips inside the sitting room,question,living room,chips
what are you tell apple near the my room,question,bedroom,apple
tell everything you see tuna inside the living room,describe,living room,tuna
search for an object inside the bath,get,bathroom,unknown
get me a banana by the parlor,get,living room,banana
specify what you see item around the canteen,describe,kitchen,unknown
tell in details thing close to the bathroom,describe,bathroom,unknown
specify what's there beverage from the bath,describe,bathroom,beverage
get me a crackers from the bathroom,get,bathroom,crackers
how you tell cookies near the bedroom,question,bedroom,cookies
clear the carrots in the canteen,place,kitchen,carrots
go to the tomato near the canteen,go,kitchen,tomato
move towards the corn by the my room,go,bedroom,corn
what is is the chips,question,unknown,chips
explain every detail vegetables in the bath,describe,bathroom,vegetables
clear away a tuna from the bath,place,bathroom,tuna
grab some object around the my room,get,bedroom,unknown
bring me the item in the bedroom,get,bedroom,unknown
answer you do item near the my room,question,bedroom,unknown
specify everything you see soda,describe,unknown,soda
explain every detail chips close to the bath,describe,bathroom,chips
clean up a beverage in the living room,place,living room,beverage
could you do vegetables,question,unknown,vegetables
head to the peas close to the bath,go,bathroom,peas
how are the peas inside the canteen,question,kitchen,peas
question you do carrots inside the bathroom,question,bathroom,carrots
present in details item inside the my room,describe,bedroom,unknown
clear a water close to the bath,place,bathroom,water
throw away the peas,place,unknown,peas
report in details water,describe,unknown,water
drive over by the corn in the sitting room,go,living room,corn
what is is the item inside the pantry,question,kitchen,unknown
pick up an item around the bathroom,get,bathroom,unknown
answer you tell soda around the parlor,question,living room,soda
specify every detail chips inside the canteen,describe,kitchen,chips
would you tell item from the bedroom,question,bedroom,unknown
throw out the object close to the kitchen,place,kitchen,unknown
bring some cookies around the my room,get,bedroom,cookies
clear an object from the bedroom,place,bedroom,unknown
get an apple around the kitchen,get,kitchen,apple
report what you see chips in the my room,describe,bedroom,chips
throw away the crackers around the kitchen,place,kitchen,crackers
find the apple by the kitchen,get,kitchen,apple
answer you do corn inside the bath,question,bathroom,corn
store the chips from the kitchen,place,kitchen,chips
where you tell soda from the pantry,question,kitchen,soda
what are is the soda from the kitchen,question,kitchen,soda
place a cookies near the canteen,place,kitchen,cookies
go over by the my room,go,bedroom,unknown
navigate over by the living room,go,living room,unknown
what are you tell chips near the bathroom,question,bathroom,chips
drive over by the tomato by the sitting room,go,living room,tomato
tidy the carrots near the my room,place,bedroom,carrots
navigate over by the corn,go,unknown,corn
place the chips around the my room,place,bedroom,chips
navigate over to the crackers,go,unknown,crackers
put back the peas,place,unknown,peas
could are the peas in the my room,question,bedroom,peas
proceed by the tuna close to the canteen,go,kitchen,tuna
grab an orange,get,unknown,orange
present everything you see thing by the my room,describe,bedroom,unknown
fetch a crackers from the living room,get,living room,crackers
report every detail apple by the bathroom,describe,bathroom,apple
drive over by the banana inside the bath,go,bathroom,banana
question is the item inside the bath,question,bathroom,unknown
throw away a soda by the bath,place,bathroom,soda
drive over to the banana around the sitting room,go,living room,banana
bring me some tuna in the kitchen,get,kitchen,tuna
present in details beverage,describe,unknown,beverage
store an orange in the bathroom,place,bathroom,orange
go over to the apple close to the bedroom,go,bedroom,apple
specify every detail banana from the canteen,describe,kitchen,banana
answer is the orange around the living room,question,living room,orange
retrieve some peas,get,unknown,peas
find me the beverage around the kitchen,get,kitchen,beverage
retrieve the peas inside the living room,get,living room,peas
identify the carrots from the sitting room,get,living room,carrots
describe everything you see object in the kitchen,describe,kitchen,unknown
specify everything you see crackers in the bathroom,describe,bathroom,crackers
answer you tell corn close to the parlor,question,living room,corn
head over by the soda by the parlor,go,living room,soda
tell every detail banana close to the bath,describe,bathroom,banana
question you tell orange in the sitting room,question,living room,orange
tidy the water,place,unknown,water
throw out a peas from the bathroom,place,bathroom,peas
throw out the water close to the bedroom,place,bedroom,water
tell everything you see tomato from the parlor,describe,living room,tomato
describe what's there banana near the bath,describe,bathroom,banana
store an object inside the bedroom,place,bedroom,unknown
present what you see orange by the living room,describe,living room,orange
tidy the item near the pantry,place,kitchen,unknown
navigate toward the chips in the kitchen,go,kitchen,chips
grab me the orange around the kitchen,get,kitchen,orange
express in details thing close to the bedroom,describe,bedroom,unknown
what are you do banana from the sitting room,question,living room,banana
clear the chips,place,unknown,chips
search for a tomato inside the canteen,get,kitchen,tomato
describe in details apple from the bedroom,describe,bedroom,apple
tidy up the vegetables inside the canteen,place,kitchen,vegetables
answer you tell water in the bedroom,question,bedroom,water
bring the thing close to the bathroom,get,bathroom,unknown
throw out the soda around the parlor,place,living room,soda
tidy a peas by the sitting room,place,living room,peas
would you do carrots by the living room,question,living room,carrots
question is the object in the living room,question,living room,unknown
put away the orange near the canteen,place,kitchen,orange
describe everything you see chips around the bedroom,describe,bedroom,chips
would are the water,question,unknown,water
search for the banana around the bathroom,get,bathroom,banana
throw away the item in the kitchen,place,kitchen,unknown
what are is the chips close to the my room,question,bedroom,chips
how you tell crackers inside the kitchen,question,kitchen,crackers
store a water inside the bath,place,bathroom,water
pick up a crackers by the bathroom,get,bathroom,crackers
go over to the banana inside the my room,go,bedroom,banana
put back the apple near the parlor,place,living room,apple
grab me some item from the bedroom,get,bedroom,unknown
specify what's there corn from the parlor,describe,living room,corn
express what you see object in the pantry,describe,kitchen,unknown
could are the item in the sitting room,question,living room,unknown
what are is the banana by the my room,question,bedroom,banana
what is you tell tomato from the living room,question,living room,tomato
bring me the apple around the bedroom,get,bedroom,apple
express what you see thing by the bath,describe,bathroom,unknown
navigate over to the water from the bedroom,go,bedroom,water
bring me an orange,get,unknown,orange
question you do beverage near the bedroom,question,bedroom,beverage
search for the cookies,get,unknown,cookies
put back the item from the bedroom,place,bedroom,unknown
question you do cookies in the parlor,question,living room,cookies
move by the bedroom,go,bedroom,unknown
tidy the crackers close to the living room,place,living room,crackers
express what you see object around the canteen,describe,kitchen,unknown
explain what you see banana by the bath,describe,bathroom,banana
where are the cookies close to the living room,question,living room,cookies
could you tell water in the bathroom,question,bathroom,water
explain every detail chips,describe,unknown,chips
question is the soda from the parlor,question,living room,soda
would you do apple close to the my room,question,bedroom,apple
explain what's there tomato near the bedroom,describe,bedroom,tomato
present in details thing in the kitchen,describe,kitchen,unknown
could is the water close to the bathroom,question,bathroom,water
find the soda from the parlor,get,living room,soda
what is you do item by the bathroom,question,bathroom,unknown
get me some beverage near the bedroom,get,bedroom,beverage
would is the thing around the bedroom,question,bedroom,unknown
specify everything you see crackers near the pantry,describe,kitchen,crackers
describe what's there item close to the living room,describe,living room,unknown
describe every detail corn,describe,unknown,corn
navigate towards the apple around the bedroom,go,bedroom,apple
how you do crackers by the canteen,question,kitchen,crackers
where you tell item from the my room,question,bedroom,unknown
move near the corn,go,unknown,corn
what are you tell crackers by the my room,question,bedroom,crackers
tidy a banana around the my room,place,bedroom,banana
describe in details item around the my room,describe,bedroom,unknown
answer is the vegetables near the bathroom,question,bathroom,vegetables
what are you tell cookies around the living room,question,living room,cookies
where are the corn,question,unknown,corn
how is the crackers from the parlor,question,living room,crackers
clean the orange,place,unknown,orange
clean up an object near the bedroom,place,bedroom,unknown
clean up the apple by the bedroom,place,bedroom,apple
express what's there corn,describe,unknown,corn
throw away a soda near the bathroom,place,bathroom,soda
navigate towards the bedroom,go,bedroom,unknown
head towards the bathroom,go,bathroom,unknown
locate a banana,get,unknown,banana
present every detail banana near the canteen,describe,kitchen,banana
question is the corn inside the sitting room,question,living room,corn
find me a crackers,get,unknown,crackers
what is is the corn in the my room,question,bedroom,corn
retrieve some vegetables,get,unknown,vegetables
express everything you see tomato from the bath,describe,bathroom,tomato
tidy up the crackers from the bathroom,place,bathroom,crackers
clear away the corn by the living room,place,living room,corn
navigate near the water by the kitchen,go,kitchen,water
could is the beverage inside the living room,question,living room,beverage
clean an apple close to the parlor,place,living room,apple
what is you tell apple in the pantry,question,kitchen,apple
go toward the water around the parlor,go,living room,water
drive over to the vegetables close to the pantry,go,kitchen,vegetables
would is the corn from the sitting room,question,living room,corn
go to the chips around the my room,go,bedroom,chips
move near the tuna around the my room,go,bedroom,tuna
move near the peas from the pantry,go,kitchen,peas
what are you do peas around the parlor,question,living room,peas
go by the cookies around the pantry,go,kitchen,cookies
go near the bathroom,go,bathroom,unknown
fetch me the cookies near the bedroom,get,bedroom,cookies
how you tell item close to the bath,question,bathroom,unknown
throw out the chips close to the my room,place,bedroom,chips
clean an object in the canteen,place,kitchen,unknown
tidy a water inside the bath,place,bathroom,water
would are the item around the bathroom,question,bathroom,unknown
where you do item by the bath,question,bathroom,unknown
head over by the crackers,go,unknown,crackers
go by the cookies,go,unknown,cookies
go to the banana by the bathroom,go,bathroom,banana
get some item near the kitchen,get,kitchen,unknown
fetch me some crackers near the my room,get,bedroom,crackers
tell everything you see thing from the bedroom,describe,bedroom,unknown
how are the chips,question,unknown,chips
would is the cookies,question,unknown,cookies
what are is the tuna by the bedroom,question,bedroom,tuna
clean an object around the bathroom,place,bathroom,unknown
answer is the cookies from the bath,question,bathroom,cookies
what are are the beverage,question,unknown,beverage
head by the chips,go,unknown,chips
present in details corn inside the sitting room,describe,living room,corn
put back the soda in the parlor,place,living room,soda
move toward the soda near the sitting room,go,living room,soda
clean up a beverage,place,unknown,beverage
tidy up the corn in the pantry,place,kitchen,corn
move near the soda inside the living room,go,living room,soda
present in details beverage close to the bath,describe,bathroom,beverage
locate the banana around the living room,get,living room,banana
take the crackers by the bath,place,bathroom,crackers
navigate toward the cookies in the bedroom,go,bedroom,cookies
find me the vegetables by the pantry,get,kitchen,vegetables
express in details water by the bath,describe,bathroom,water
tell in details cookies,describe,unknown,cookies
put back a tuna in the canteen,place,kitchen,tuna
move over by the apple inside the bathroom,go,bathroom,apple
proceed by the orange inside the bedroom,go,bedroom,orange
how is the crackers near the bathroom,question,bathroom,crackers
report what you see item from the pantry,describe,kitchen,unknown
grab me some carrots,get,unknown,carrots
specify what's there orange,describe,unknown,orange
express what you see thing in the my room,describe,bedroom,unknown
where you tell cookies near the living room,question,living room,cookies
question you tell tomato,question,unknown,tomato
head near the soda,go,unknown,soda
what is is the vegetables,question,unknown,vegetables
what is you tell carrots,question,unknown,carrots
navigate to the parlor,go,living room,unknown
tidy the tuna in the kitchen,place,kitchen,tuna
clean up a corn near the pantry,place,kitchen,corn
question is the banana in the bath,question,bathroom,banana
answer are the chips by the sitting room,question,living room,chips
pick up an object near the bedroom,get,bedroom,unknown
report what you see tuna from the my room,describe,bedroom,tuna
store the object inside the sitting room,place,living room,unknown
clear the cookies inside the living room,place,living room,cookies
tidy up a tuna inside the kitchen,place,kitchen,tuna
find a crackers near the bedroom,get,bedroom,crackers
clear away a beverage in the sitting room,place,living room,beverage
answer you tell soda near the sitting room,question,living room,soda
look for a cookies near the pantry,get,kitchen,cookies
tidy the banana around the sitting room,place,living room,banana
would you tell orange near the parlor,question,living room,orange
put away a thing by the bedroom,place,bedroom,unknown
answer you tell orange,question,unknown,orange
drive to the vegetables in the bathroom,go,bathroom,vegetables
specify everything you see water around the bathroom,describe,bathroom,water
proceed towards the tuna,go,unknown,tuna
move near the orange around the kitchen,go,kitchen,orange
express every detail banana by the my room,describe,bedroom,banana
express everything you see carrots,describe,unknown,carrots
tell what you see object inside the pantry,describe,kitchen,unknown
find the cookies,get,unknown,cookies
grab a corn by the bathroom,get,bathroom,corn
retrieve a thing around the bathroom,get,bathroom,unknown
head toward the pantry,go,kitchen,unknown
proceed towards the parlor,go,living room,unknown
would are the orange by the bedroom,question,bedroom,orange
would are the object from the kitchen,question,kitchen,unknown
what are are the cookies,question,unknown,cookies
could is the orange inside the bedroom,question,bedroom,orange
locate a crackers,get,unknown,crackers
go over by the orange around the bath,go,bathroom,orange
grab me a carrots near the pantry,get,kitchen,carrots
proceed to the carrots near the sitting room,go,living room,carrots
tidy up the object inside the my room,place,bedroom,unknown
bring the vegetables,get,unknown,vegetables
go to the orange near the parlor,go,living room,orange
specify everything you see banana around the canteen,describe,kitchen,banana
could you do chips,question,unknown,chips
question you do object near the my room,question,bedroom,unknown
clean up a soda inside the sitting room,place,living room,soda
tidy up the thing around the living room,place,living room,unknown
find me some thing in the sitting room,get,living room,unknown
go near the beverage,go,unknown,beverage
put away the chips in the pantry,place,kitchen,chips
tell every detail banana near the canteen,describe,kitchen,banana
fetch some thing close to the bath,get,bathroom,unknown
head by the corn in the bath,go,bathroom,corn
throw away the corn in the bathroom,place,bathroom,corn
would is the soda,question,unknown,soda
describe in details orange in the parlor,describe,living room,orange
explain everything you see water by the bedroom,describe,bedroom,water
drive over to the orange,go,unknown,orange
go towards the apple,go,unknown,apple
locate a chips from the my room,get,bedroom,chips
pick up the soda from the parlor,get,living room,soda
fetch a water from the bath,get,bathroom,water
explain what's there banana inside the bathroom,describe,bathroom,banana
answer is the orange,question,unknown,orange
present what you see water,describe,unknown,water
present what you see water from the bathroom,describe,bathroom,water
clear away the water by the pantry,place,kitchen,water
drive toward the tuna in the kitchen,go,kitchen,tuna
go over by the tomato inside the kitchen,go,kitchen,tomato
tidy a water from the living room,place,living room,water
head over by the sitting room,go,living room,unknown
could are the chips,question,unknown,chips
look for some tuna from the kitchen,get,kitchen,tuna
specify every detail item in the kitchen,describe,kitchen,unknown
bring me the beverage near the bath,get,bathroom,beverage
put back a thing from the pantry,place,kitchen,unknown
find me the crackers from the parlor,get,living room,crackers
grab me the object near the bath,get,bathroom,unknown
store a soda from the pantry,place,kitchen,soda
answer are the apple,question,unknown,apple
express in details water near the bedroom,describe,bedroom,water
head near the my room,go,bedroom,unknown
store a peas,place,unknown,peas
find me some soda in the bath,get,bathroom,soda
specify every detail peas inside the kitchen,describe,kitchen,peas
question you tell item by the kitchen,question,kitchen,unknown
drive towards the soda,go,unknown,soda
drive over to the apple near the my room,go,bedroom,apple
go by the sitting room,go,living room,unknown
present every detail orange in the bath,describe,bathroom,orange
tidy a chips,place,unknown,chips
identify some thing close to the pantry,get,kitchen,unknown
identify some soda near the bath,get,bathroom,soda
tell everything you see chips near the pantry,describe,kitchen,chips
tidy the carrots,place,unknown,carrots
would you tell corn from the parlor,question,living room,corn
drive by the apple near the living room,go,living room,apple
drive over by the orange in the bedroom,go,bedroom,orange
clear away the beverage inside the kitchen,place,kitchen,beverage
clear away a tomato inside the bathroom,place,bathroom,tomato
could are the cookies around the living room,question,living room,cookies
explain what's there beverage inside the living room,describe,living room,beverage
put back the apple close to the bedroom,place,bedroom,apple
drive towards the soda by the parlor,go,living room,soda
tidy up a thing close to the my room,place,bedroom,unknown
proceed over by the chips in the bedroom,go,bedroom,chips
search for the water from the bathroom,get,bathroom,water
throw out a soda by the pantry,place,kitchen,soda
present everything you see tuna close to the sitting room,describe,living room,tuna
tell what's there carrots,describe,unknown,carrots
specify every detail water,describe,unknown,water
describe what you see apple,describe,unknown,apple
navigate by the orange around the bedroom,go,bedroom,orange
what are you tell peas from the bathroom,question,bathroom,peas
where are the item near the pantry,question,kitchen,unknown
tell every detail item by the pantry,describe,kitchen,unknown
how is the orange near the pantry,question,kitchen,orange
answer is the beverage inside the kitchen,question,kitchen,beverage
clean a peas around the bedroom,place,bedroom,peas
tidy up the vegetables in the my room,place,bedroom,vegetables
search for the cookies close to the canteen,get,kitchen,cookies
head over by the water close to the pantry,go,kitchen,water
tidy the banana in the my room,place,bedroom,banana
put back a thing from the bedroom,place,bedroom,unknown
specify everything you see thing around the my room,describe,bedroom,unknown
fetch some thing by the pantry,get,kitchen,unknown
identify some crackers close to the bath,get,bathroom,crackers
head toward the crackers from the my room,go,bedroom,crackers
express every detail cookies from the bathroom,describe,bathroom,cookies
would you tell cookies in the my room,question,bedroom,cookies
describe what you see object in the bath,describe,bathroom,unknown
drive over to the banana around the parlor,go,living room,banana
present in details beverage,describe,unknown,beverage
specify everything you see beverage near the canteen,describe,kitchen,beverage
specify what you see object inside the my room,describe,bedroom,unknown
question you tell water close to the my room,question,bedroom,water
could are the item by the my room,question,bedroom,unknown
search for the beverage,get,unknown,beverage
proceed to the tuna from the canteen,go,kitchen,tuna
retrieve the beverage from the parlor,get,living room,beverage
describe in details object near the living room,describe,living room,unknown
describe in details tomato around the living room,describe,living room,tomato
store the cookies,place,unknown,cookies
get me an item near the pantry,get,kitchen,unknown
express what you see banana from the bedroom,describe,bedroom,banana
identify some object from the bedroom,get,bedroom,unknown
describe everything you see beverage by the bath,describe,bathroom,beverage
go near the canteen,go,kitchen,unknown
throw out a peas from the bedroom,place,bedroom,peas
fetch some item near the living room,get,living room,unknown
retrieve some tomato close to the bedroom,get,bedroom,tomato
look for some tomato near the living room,get,living room,tomato
clean a chips near the bath,place,bathroom,chips
specify in details crackers inside the kitchen,describe,kitchen,crackers
where is the item from the sitting room,question,living room,unknown
get some orange near the kitchen,get,kitchen,orange
could you do soda from the bedroom,question,bedroom,soda
what are you do chips,question,unknown,chips
could you tell corn inside the bathroom,question,bathroom,corn
identify a cookies by the canteen,get,kitchen,cookies
clean up the orange,place,unknown,orange
where you tell chips inside the bath,question,bathroom,chips
bring me a vegetables close to the bathroom,get,bathroom,vegetables
present in details apple,describe,unknown,apple
place the banana,place,unknown,banana
fetch me the water around the my room,get,bedroom,water
find me an item by the sitting room,get,living room,unknown
find some beverage from the parlor,get,living room,beverage
could is the item near the my room,question,bedroom,unknown
question is the cookies around the bath,question,bathroom,cookies
answer are the chips by the bathroom,question,bathroom,chips
clear away the thing near the bathroom,place,bathroom,unknown
describe in details orange,describe,unknown,orange
what are are the crackers close to the bath,question,bathroom,crackers
get some orange near the pantry,get,kitchen,orange
navigate toward the my room,go,bedroom,unknown
drive near the chips by the kitchen,go,kitchen,chips
how you tell tuna from the canteen,question,kitchen,tuna
drive over to the corn,go,unknown,corn
find a chips in the my room,get,bedroom,chips
proceed to the crackers in the bathroom,go,bathroom,crackers
what is you do tuna inside the canteen,question,kitchen,tuna
tell in details item around the sitting room,describe,living room,unknown
explain what's there thing around the bedroom,describe,bedroom,unknown
tidy the object around the pantry,place,kitchen,unknown
how are the apple from the bathroom,question,bathroom,apple
